,actor_id,sentence,emotion,intensity,audio_duration,sample_rate,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,rms_mean,rms_std,zcr_mean,chroma_mean,chroma_std
0,1022,ITS,angry,XX,2.43578231292517,22050,-266.28894,123.93593,108.554596,39.69467,-2.8585892,46.289185,48.0036,29.507734,-4.994884,27.30662,-3.0345693,25.521568,-16.416988,21.197918,0.56986177,14.817621,-14.380785,14.232887,0.07977553,9.359929,-7.2709966,10.523891,-3.6666882,8.211641,5.5707235,10.892748,1754.4761892937202,965.0905462163777,3350.0537109375,1701.8141318142934,0.09614645,0.11030798,0.09581473214285714,0.32804313,0.30603307
1,1037,ITS,angry,XX,3.0030385487528344,22050,-346.4098,83.34471,125.38154,42.7693,10.759255,37.981335,50.35752,31.601229,-17.275206,20.52631,10.689322,21.838257,-18.113935,16.063948,5.768531,12.762591,-11.5778055,9.601422,-1.1049453,8.342383,-0.040268708,7.222221,-5.474337,7.7141767,2.4161026,10.813552,1624.5018302515293,1058.895060696697,3325.9688626802886,1722.0488468343467,0.038797405,0.03177109,0.0913837139423077,0.37031063,0.32213515
2,1060,ITS,neutral,XX,2.4024036281179137,22050,-421.4845,36.981285,140.3719,19.000977,2.3807204,18.926615,56.471306,14.317978,-15.0655155,9.002405,27.199568,11.622196,-16.744843,10.67904,15.308786,8.005204,-14.127646,8.773739,6.7795534,7.714728,-2.050212,4.5955534,-8.986681,3.6244009,5.0728707,5.230837,1406.5155344183827,563.1730669317806,3186.0858623798076,1848.645712726365,0.008989531,0.005156884,0.060316819411057696,0.40389436,0.30325463
3,1075,ITS,neutral,XX,2.43578231292517,22050,-413.2255,50.740425,140.57637,28.177567,12.731214,24.630503,58.78279,19.602495,-16.602028,13.347273,17.44616,18.811434,-17.62922,11.769537,16.202087,8.48098,-9.718294,11.470079,4.057038,7.3859005,-1.0608611,5.154092,-6.859608,6.3039722,6.4356475,5.935963,1370.1338927024735,682.4719865583465,3006.9580078125,1780.081965271633,0.011598889,0.007131814,0.06236049107142857,0.41436747,0.30834743
4,1073,IOM,disgust,XX,2.8695691609977323,22050,-415.93317,61.064003,136.75943,19.81158,14.094658,30.064035,60.601498,18.192825,-2.8129869,8.576171,16.033842,16.528671,-7.005336,11.50284,6.752667,9.166614,-11.604404,9.581339,4.1741314,5.004461,-2.2024457,5.6568336,-3.9800518,4.755564,7.056,6.9208527,1164.5957326766004,422.88173442114953,2682.2730279737902,1686.1015455026861,0.01492944,0.013538119,0.04137789818548387,0.41192907,0.30603534
5,1066,IOM,disgust,XX,2.5025396825396826,22050,-434.8321,52.60891,151.62708,21.261244,11.40743,21.641928,59.741123,15.838736,-11.191587,15.921373,27.14443,10.373744,-19.86476,10.627064,14.949748,6.7154193,-12.08872,8.040718,2.3508966,6.5377655,-1.8139676,5.767282,-3.939276,5.312201,5.231297,5.164454,1071.785315281175,130.93468241796174,2326.8819173177085,1679.4603923854195,0.010602645,0.0065068817,0.03685167100694445,0.41751856,0.2926609
6,1078,IWL,sad,XX,2.43578231292517,22050,-411.06216,53.233044,142.59055,25.974903,7.20563,24.400518,38.33791,20.681957,-7.587276,15.34002,18.395035,12.466634,-8.327283,10.717286,7.9308376,6.135391,-8.952816,7.2672744,-0.2345193,8.416523,0.11715117,6.3020573,-1.5396178,7.0321813,5.8928375,6.7333627,1112.2425104528158,250.1560153482843,2364.2431640625,1548.4877052242289,0.018304147,0.016134812,0.043638392857142855,0.32461315,0.3127161
7,1029,TAI,fear,XX,3.670340136054422,22050,-390.94662,91.76933,107.02038,21.287933,21.90432,32.180367,47.536587,18.215315,-11.656421,28.917841,15.020742,14.075372,-8.122257,14.503433,9.970819,8.257779,-8.81037,10.842929,-1.3692787,5.753596,-6.6949615,9.567639,-7.2059026,7.7015452,0.099175364,7.8032556,1535.9307409640326,741.7623627953114,3507.745246167453,1910.0843925088632,0.024418104,0.026097942,0.06709414308176101,0.3290274,0.318542
8,1039,IEO,sad,MD,2.2022222222222223,22050,-414.69302,64.39488,138.3501,29.956095,14.807057,19.118809,56.753345,13.433279,-11.160858,17.602072,22.115767,16.260527,-4.8113365,7.9472313,8.932751,5.9191923,-19.715908,14.6083145,-2.4165883,8.319152,-2.938333,7.336827,-4.6455784,5.412123,3.8104856,6.1177526,1251.100569028179,546.0839893822821,2840.1161595394738,1732.7162489511854,0.013884,0.013328323,0.049686472039473684,0.43051875,0.2903073
9,1008,TAI,happy,XX,3.2032199546485263,22050,-366.637,89.09273,112.136604,28.4059,14.312089,32.895058,48.73689,24.163082,-12.123572,35.308434,11.5677185,18.743189,-9.017609,17.438152,2.1451714,11.55101,-13.143895,13.120062,3.6026304,8.381729,-3.5043235,9.074902,1.9471064,5.4570036,8.126643,7.8797746,1503.966005169002,634.6354008882449,3229.2002802309785,1811.2418653274894,0.034049343,0.03595219,0.058300073596014496,0.2830542,0.31558648
